State,non-Wilderness,Wilderness_acres
Alabama,31798212,42218
Alaska,142815020,57757130
Arizona,44610008,4512066
Arkansas,30439874,153342
California,54713587,15348149
Colorado,42385513,3734992
Connecticut,3126250,0
Delaware,1236002,0
District of Columbia,29391,0
Florida,30230080,1421395
Georgia,35348868,488679
Hawaiia,3275770,147819
Idaho,20143472,4795700
Illinois,35371418,32172
Indiana,22773674,12472
Iowa,35762971,0
Kansas,52256801,0
Kentucky,24412160,17187
Louisiana,27514549,17047
Maine,19546199,18628
Maryland,6113998,0
Massachusetts,4972200,3244
Michigan,32854561,291308
Minnesota,47701783,820621
Mississippi,28670086,10656
Missouri,42545337,71914
Montana,66188639,3501359
Nebraska,48484828,12437
Nevada,14001710,3448359
New Hampshire,4963488,138407
New Jersey,4641484,10341
New Mexico,53100626,1982124
New York,30449968,1380
North Carolina,28968079,111504
North Dakota,42718839,39652
Ohio,25916578,77
Oklahoma,43404391,24040
Oregon,29354463,2507014
Pennsylvania,28182320,9005
Rhode Island,672607,0
South Carolina,18498764,67237
South Dakota,46241915,77678
Tennessee,25446318,86099
Texas,164986402,85167
Utah,19429339,1819062
Vermont,5470752,100874
Virginia,23122704,217157
Washington,30500905,4484466
West Virginia,14276422,118811
Wisconsin,33157115,79967
Wyoming,33205318,3067728
